Company Name,Date Priced,Market,Offer Amount,Price,Shares,Symbol,1D,1W,1M,3M
"SPRING BANK PHARMACEUTICALS, INC.",2016-05-06,NASDAQ,11040000,12,920000,SBPH,0.015070922,-0.026595745,-0.046099291,-0.002659574
"TURNING POINT BRANDS, INC.",2016-05-11,New York Stock Exchange,54000000,10,5400000,TPB,0.012,0.186,-0.07,0.0654
"SITEONE LANDSCAPE SUPPLY, INC.",2016-05-12,New York Stock Exchange,210000000,21,10000000,SITE,0.049532022,0.161466543,0.102574146,0.462168622
"ACACIA COMMUNICATIONS, INC.",2016-05-13,NASDAQ,103500000,23,4500000,ACIA,0.06862069,-0.01137931,0.282758655,1.25862069
"PULSE BIOSCIENCES, INC.",2016-05-18,NASDAQ,20000000,4,5000000,PLSE,0.012106538,-0.007263923,0.075060533,0.12251816
MERUS N.V.,2016-05-19,NASDAQ,55000000,10,5500000,MRUS,0.025641026,0.060512821,-0.123076923,-0.015384615
"MIDLAND STATES BANCORP, INC.",2016-05-24,NASDAQ,80052610,22,3638755,MSBI,-0.00498631,0.021305622,-0.00271981,0.053671807
GMS INC.,2016-05-26,New York Stock Exchange,147000000,21,7000000,GMS,-0.045333333,0.015555556,-0.032888889,0.055111111
"LANDCADIA HOLDINGS, INC.",2016-05-26,NASDAQ,250000000,10,25000000,LCAHU,0.005,0.029,0.004,0.009
REATA PHARMACEUTICALS INC,2016-05-26,NASDAQ,60500000,11,5500000,RETA,0.205244123,0.436708861,0.695298373,0.688969259
US FOODS HOLDING CORP.,2016-05-26,New York Stock Exchange,1022222212,23,44444444,USFD,0.030927835,0.036288619,-0.057319546,0.014020619
"CLEARSIDE BIOMEDICAL, INC.",2016-06-02,NASDAQ,50400000,7,7200000,CLSD,-0.1,-0.15,-0.15625,-0.1125
"SYROS PHARMACEUTICALS, INC.",2016-06-30,NASDAQ,50000000,12.5,4000000,SYRS,0.3573334,0.137333267,-0.201333333,-0.134
"AUDENTES THERAPEUTICS, INC.",2016-07-20,NASDAQ,75000000,15,5000000,BOLD,-0.206315789,-0.212631579,-0.236842105,0.008421053
"TPI COMPOSITES, INC",2016-07-22,NASDAQ,68750000,11,6250000,TPIC,0.235758107,0.233128834,0.675723138,0.581945574
"KINSALE CAPITAL GROUP, INC.",2016-07-28,NASDAQ,105600000,16,6600000,KNSL,0.0255555,0.013888889,0.116111111,0.258888889
TACTILE SYSTEMS TECHNOLOGY INC,2016-07-28,NASDAQ,40000000,10,4000000,TCMD,0.062801932,0.338164251,0.336231884,0.821256039
TALEND SA,2016-07-29,NASDAQ,94500000,18,5250000,TLND,-0.041576283,-0.060014461,-0.070860412,-0.143528525
GEMPHIRE THERAPEUTICS INC.,2016-08-05,NASDAQ,30000000,10,3000000,GEMP,0.021621622,0.027027027,0.417297297,0.069189189
"MEDPACE HOLDINGS, INC.",2016-08-11,NASDAQ,161000000,23,7000000,MEDP,-0.021314423,0.002841918,0.056483126,0.115097655
"PROTAGONIST THERAPEUTICS, INC",2016-08-11,NASDAQ,90000000,12,7500000,PTGX,-0.020833333,-0.01375,0.058333333,0.50916675
"EVERBRIDGE, INC.",2016-09-16,NASDAQ Global,90000000,12,7500000,EVBG,0.406503984,0.361788618,0.242276423,0.37398374
BIGFOOT PROJECT INVESTMENTS INC,2016-09-19,OTCBB,20000000,1,20000000,BGFT,-0.5,-0.625,-0.675,-0.675
"NOVAN, INC.",2016-09-21,NASDAQ Global,45100000,11,4100000,NOVN,0.305555486,0.592361111,0.430555556,0.867708333
"TRADE DESK, INC.",2016-09-21,NASDAQ Global,84000006,18,4666667,TTD,0.07826087,0.068869565,-0.126956522,0.085913009
"CAPSTAR FINANCIAL HOLDINGS, INC.",2016-09-22,NASDAQ Global Select,38775000,15,2585000,CSTR,-0.033816367,0.001811655,0.074637746,0.189613659
"E.L.F. BEAUTY, INC.",2016-09-22,NYSE,141666661,17,8333333,ELF,0.069583333,0.093333333,0.117083292,0.209583375
AC IMMUNE SA,2016-09-23,NASDAQ Global,66000000,11,6000000,ACIU,0.105598866,0.238837704,0.051736357,0.020552799
GRIDSUM HOLDING INC.,2016-09-23,NASDAQ Global Select,87100000,13,6700000,GSUM,0.013114754,0.09704918,0.049836066,-0.233442623
VALVOLINE INC,2016-09-23,NYSE,660000000,22,30000000,VVV,-0.041908714,-0.014937759,-0.087136929,-0.143153527
"SHINECO, INC.",2016-09-28,NASDAQ Capital,7709355,4.5,1713190,TYHT,2.947244783,-0.17936694,-0.381008206,-0.512309496
"TABULA RASA HEALTHCARE, INC.",2016-09-29,NASDAQ Global,51600000,12,4300000,TRHC,0.02585034,-0.097959184,-0.102721088,-0.051020408
"ADVANCED DISPOSAL SERVICES, INC.",2016-10-06,NYSE,346500000,18,19250000,ADSW,-0.048292683,-0.004878049,-0.041463415,0.091707268
OBALON THERAPEUTICS INC,2016-10-06,NASDAQ Global,75000000,15,5000000,OBLN,-0.013806706,-0.08086785,-0.332018409,-0.417488494
AQUAVENTURE HOLDINGS LTD,2016-10-06,NYSE,117000000,18,6500000,WAAS,0.048095238,0.125238048,0.019047619,0.15
"CAMPING WORLD HOLDINGS, INC.",2016-10-07,NYSE,249999992,22,11363636,CWH,-0.047999958,-0.113684253,-0.088,0.386526316
EVERSPIN TECHNOLOGIES INC,2016-10-07,NASDAQ Global,40000000,8,5000000,MRAM,-0.120879121,-0.276923077,-0.238461538,-0.159340659
"MAMMOTH ENERGY SERVICES, INC.",2016-10-14,NASDAQ Global Select,116250000,15,7750000,TUSK,-0.033674963,0.039531479,-0.009516837,0.251098097
CRISPR THERAPEUTICS AG,2016-10-19,NASDAQ Global,56000000,14,4000000,CRSP,-0.062666667,-0.000666667,0.25,0.422666667
"FORTERRA, INC.",2016-10-20,NASDAQ Global Select,331560000,18,18420000,FRTA,-0.012643046,0.009030644,0.104154058,0.173991501
"RA PHARMACEUTICALS, INC.",2016-10-26,NASDAQ Global,91639990,13,7049230,RARX,-0.081920904,-0.093220339,-0.081920904,0.11440678
GTY TECHNOLOGY HOLDINGS INC.,2016-10-27,NASDAQ Capital,480000000,10,48000000,GTYHU,0.00498008,-0.001992032,0.007968127,0.034860558
MYOVANT SCIENCES LTD.,2016-10-27,NYSE,217500000,15,14500000,MYOV,-0.110666667,-0.26,-0.200666667,-0.256666667
ZTO EXPRESS (CAYMAN) INC.,2016-10-27,NYSE,1405950000,19.5,72100000,ZTO,-0.087499946,-0.127717446,-0.160326087,-0.275
"BLACKLINE, INC.",2016-10-28,NASDAQ Global Select,146200000,17,8600000,BL,-0.021207178,-0.112153344,0.092985277,0.154159829
QUANTENNA COMMUNICATIONS INC,2016-10-28,NASDAQ Global Select,107200000,16,6700000,QTNA,-0.102427419,-0.153345125,0.179988229,0.123741926
INNOVATIVE INDUSTRIAL PROPERTIES INC,2016-12-01,NYSE,67000000,20,3350000,IIPR,-0.05234563,-0.135802469,-0.080987605,-0.190123457
"POLAR POWER, INC.",2016-12-07,NASDAQ Capital,16800000,7,2400000,POLA,0.270198675,0.072847682,0.112582781,0.22781457
"SENESTECH, INC.",2016-12-08,NASDAQ Capital,15000000,8,1875000,SNES,-0.024242424,-0.003636364,-0.024242424,0.157454545
WILDHORSE RESOURCE DEVELOPMENT CORP,2016-12-14,NYSE,412500000,15,27500000,WRD,-0.042038217,-0.075796178,-0.050318471,-0.242675159
TIGENIX NV,2016-12-15,NASDAQ Global Select,35650000,15.5,2300000,TIG,-0.047142857,0.079285714,0.077071429,0.128571429
"HEBRON TECHNOLOGY CO., LTD",2016-12-27,NASDAQ Capital,20000000,4,5000000,HEBT,-0.14,-0.321428571,-0.41,-0.495714286
"KEANE GROUP, INC.",2017-01-20,NYSE,508440000,19,26760000,FRAC,-0.029545455,-0.018636364,-0.080909136,-0.317272727
ANAPTYSBIO INC,2017-01-26,NASDAQ Global Select,75000000,15,5000000,ANAB,0.050624937,0.05125,0.393749938,0.550624937
OBSEVA SA,2017-01-26,NASDAQ Global Select,96750000,15,6450000,OBSV,-0.119638826,-0.148231753,-0.08013544,-0.489841986
"JELD-WEN HOLDING, INC.",2017-01-27,NYSE,575000000,23,25000000,JELD,0.030891129,0.102970297,0.220990099,0.334653505
"JOUNCE THERAPEUTICS, INC.",2017-01-27,NASDAQ Global Select,101840000,16,6365000,JNCE,-0.0344445,-0.042777778,0.098333333,0.386666611
"REV GROUP, INC.",2017-01-27,NYSE,275000000,22,12500000,REVG,-0.022912621,-0.025242718,0.063300932,0.122330097
"LAUREATE EDUCATION, INC.",2017-02-01,NASDAQ Global Select,490000000,14,35000000,LAUR,0.0448,0.06,0.0312,0.1232
"KIMBELL ROYALTY PARTNERS, LP",2017-02-03,NYSE,90000000,18,5000000,KRP,0.118494026,0.112403162,0.068106427,0.055370989
"RAMACO RESOURCES, INC.",2017-02-03,NASDAQ Global Select,81000000,13.5,6000000,METC,-0.068728522,-0.204810997,-0.105841924,-0.494845361
CLIPPER REALTY INC.,2017-02-10,NYSE,76950000,13.5,5700000,CLPR,-0.1,-0.1,-0.099333333,-0.295333333
"FOUNDATION BUILDING MATERIALS, INC.",2017-02-10,NYSE,179200000,14,12800000,FBM,-0.047468354,-0.017088608,0.010126582,0.015189937
SACHEM CAPITAL CORP.,2017-02-10,NYSE MKT,13000000,5,2600000,SACH,0.028571429,0.004081633,0.016326531,-0.018367347
SNAP INC,2017-03-02,NYSE,3400000000,17,200000000,SNAP,0.099583292,-0.034583333,-0.060416708,-0.0975
BEYONDSPRING INC.,2017-03-09,NASDAQ Capital,3485720,20,174286,BYSI,-0.113,-0.06000005,-0.0035,1.1075001
"J.JILL, INC.",2017-03-09,NYSE,151666671,13,11666667,JILL,-0.003921569,-0.000784314,0.093333333,0.032156863
"PRESIDIO, INC.",2017-03-10,NASDAQ Global Select,233333324,14,16666666,PSDO,0.057037037,0.078518519,0.125185185,0.12962963
"MULESOFT, INC",2017-03-17,NYSE,221000000,17,13000000,MULE,-0.006597938,-0.035463959,-0.085360825,-0.014845402
PROPETRO HOLDING CORP.,2017-03-17,NYSE,350000000,14,25000000,PUMP,-0.033333333,-0.062,-0.028,-0.054
THERAPIX BIOSCIENCES LTD.,2017-03-22,NASDAQ Capital,12000000,6,2000000,TRPX,0.553968254,0.365079365,0.182539683,0.004761905
"ALTERYX, INC.",2017-03-24,NYSE,126000000,14,9000000,AYX,-0.090434783,-0.122898551,-0.106666667,0.08173913
HESS MIDSTREAM PARTNERS LP,2017-04-05,NYSE,339940000,23,14780000,HESM,0.004705922,0.012156824,0.01372549,-0.198431333
"SCHNEIDER NATIONAL, INC.",2017-04-06,NYSE,549993000,19,28947000,SNDR,-0.028205077,-0.031794923,-0.022564154,0.147179538
"ELEVATE CREDIT, INC.",2017-04-06,NYSE,80600000,6.5,12400000,ELVT,0.085714286,0.107142857,0.118571429,0.138571429
"OKTA, INC.",2017-04-07,NASDAQ Global Select,187000000,17,11000000,OKTA,-0.002105221,0.038315789,0.052631579,-0.045473684
NETSHOES (CAYMAN) LTD.,2017-04-12,NYSE,148500000,18,8250000,NETS,-0.027522936,-0.152905199,0.012232355,0.201834862
TOCAGEN INC,2017-04-13,NASDAQ Global Select,85000000,10,8500000,TOCA,0.217137293,0.347614411,0.620253067,0.134371957
"YEXT, INC.",2017-04-13,NYSE,115500000,11,10500000,YEXT,-0.045714286,-0.014285714,-0.007857143,-0.073571429
"FLOOR & DECOR HOLDINGS, INC.",2017-04-27,NYSE,185293500,21,8823500,FND,0.04595038,0.20661157,0.234710678,0.261157091
VERONA PHARMA PLC,2017-04-27,NASDAQ Global,77868000,13.5,5768000,VRNA,-0.000740192,0.008882309,0.183567728,-0.104367135
"CLOUDERA, INC.",2017-04-28,NYSE,225000000,15,15000000,CLDR,0.065730341,0.126404501,0.257865183,0.058988824
CARVANA CO.,2017-04-28,NYSE,225000000,15,15000000,CVNA,-0.140740741,-0.248148148,-0.205185185,0.586666667
"EMERALD EXPOSITIONS EVENTS, INC.",2017-04-28,NYSE,263500000,17,15500000,EEX,0.042780693,0.086630958,0.178074857,0.189839509
"NCS MULTISTAGE HOLDINGS, INC.",2017-04-28,NASDAQ Global Select,161500000,17,9500000,NCSM,-0.02200005,0.02200005,0.27250005,0.09849995
CHINA RAPID FINANCE LTD,2017-04-28,NYSE,60000000,6,10000000,XRF,0.007518797,0.166917293,0.07518797,0.027067669
ZYMEWORKS INC.,2017-04-28,NYSE,58500000,13,4500000,ZYME,-0.022222222,-0.025185185,-0.034074074,-0.454074074
ANTERO MIDSTREAM GP LP,2017-05-04,NYSE,875375000,23.5,37250000,AMGP,-0.006772009,-0.022573363,0.016252822,-0.046501084
BIOHAVEN PHARMACEUTICAL HOLDING CO LTD.,2017-05-04,NYSE,168300000,17,9900000,BHVN,-0.125,0.09350005,0.2545,0.28050005
UROGEN PHARMA LTD.,2017-05-04,NASDAQ Global,58153849,13,4473373,URGN,0.05944319,0.314522122,0.424379233,0.414597366
KKR REAL ESTATE FINANCE TRUST INC.,2017-05-05,NYSE,210125000,20.5,10250000,KREF,0.052380952,0.049999952,0.089523762,-0.024285714
OVID THERAPEUTICS INC.,2017-05-05,NASDAQ Global Select,75000000,15,5000000,OVID,-0.124285714,-0.035,-0.123571429,-0.418571429
"GARDNER DENVER HOLDINGS, INC.",2017-05-12,NYSE,826000000,20,41300000,GDI,-0.011294118,0.061647012,0.056941129,0.132235247
"SOLARIS OILFIELD INFRASTRUCTURE, INC.",2017-05-12,NYSE,121200000,12,10100000,SOI,-0.021294021,-0.018837019,-0.176904177,0.086814087
"ASV HOLDINGS, INC.",2017-05-12,NASDAQ Capital,26600000,7,3800000,ASV,0.053691275,0.046979866,0.10738255,0.067114094
"VERITONE, INC.",2017-05-12,NASDAQ Capital,37500000,15,2500000,VERI,-0.159846547,-0.114450128,-0.183503836,-0.39258312
"G1 THERAPEUTICS, INC.",2017-05-17,NASDAQ Global Select,105000000,15,7000000,GTHX,-0.008,0.089333333,0.093333333,-0.195333333
ARGENX SE,2017-05-18,NASDAQ Global Select,99705000,17,5865000,ARGX,0.234636872,0.154189944,0.167597765,0.133519609
BRIGHT SCHOLAR EDUCATION HOLDINGS LTD,2017-05-18,NYSE,157500000,10.5,15000000,BEDU,0.258181818,0.059090909,0.11,0.427272727
APPIAN CORP,2017-05-25,NASDAQ Global,75000000,12,6250000,APPN,0.013289037,0.182724186,0.135548173,0.360132824
"WIDEOPENWEST, INC.",2017-05-25,NYSE,310000015,17,18235295,WOW,0.03125,0.148749937,0.068125,-0.02875
"SHOTSPOTTER, INC",2017-06-07,NASDAQ Capital,30800000,11,2800000,SSTI,0.176229508,0.170491803,0.045901639,-0.028688525
IMMURON LTD,2017-06-09,NASDAQ Capital,6093900,9.99,610000,IMRN,-0.086486486,-0.104864865,-0.113513514,-0.351351351
"ATHENEX, INC.",2017-06-14,NASDAQ Global Select,66000000,11,6000000,ATNX,0.058333333,0.195833333,0.5125,0.57333325
"ADOMANI, INC.",2017-06-15,NASDAQ Capital,14261375,5,2852275,ADOM,-0.037037037,0.314814815,0.975308642,0.643209877
"ALTICE USA, INC.",2017-06-22,NYSE,1918290870,30,63943029,ATUS,0.034177215,0.038924114,-0.009177247,-0.137974684
GRANITE POINT MORTGAGE TRUST INC.,2017-06-23,NYSE,195000000,19.5,10000000,GPMT,0.045479452,0.030136932,0.05369863,0.04
"AVENUE THERAPEUTICS, INC.",2017-06-27,NASDAQ Capital,33000000,6,5500000,ATXI,0.065789474,0.072368421,-0.085526316,-0.273684211
"ESQUIRE FINANCIAL HOLDINGS, INC.",2017-06-27,NASDAQ Capital,33094222,14,2363873,ESQ,-0.042767296,-0.062893082,-0.069496855,-0.045283019
"MERSANA THERAPEUTICS, INC.",2017-06-28,NASDAQ Global Select,75000000,15,5000000,MRSN,-0.043508287,-0.012430939,0.044198895,0.204419959
AILERON THERAPEUTICS INC,2017-06-29,NASDAQ Global,56250000,15,3750000,ALRN,-0.218181818,-0.021818182,-0.037818182,-0.097745455
"BLUE APRON HOLDINGS, INC.",2017-06-29,NYSE,300000000,10,30000000,APRN,-0.002,-0.189,-0.312,-0.468
"DOVA PHARMACEUTICALS, INC.",2017-06-29,NASDAQ Global,75055000,17,4415000,DOVA,0.049350701,0.215584416,0.027012987,0.267532468
"TINTRI, INC.",2017-06-30,NASDAQ Global,60004000,7,8572000,TNTR,0.039325843,-0.040730337,-0.030898876,-0.564606742
"BYLINE BANCORP, INC.",2017-06-30,NYSE,108300000,19,5700000,BY,-0.012285012,0.003439803,0.007371007,0.051105602
"SIENNA BIOPHARMACEUTICALS, INC.",2017-07-27,NASDAQ Global Select,64999995,15,4333333,SNNA,0.007349187,0.049868822,0.277165421,0.106561738
"CHINA INTERNET NATIONWIDE FINANCIAL SERVICES, INC.",2017-08-08,NASDAQ Global,20231460,10,2023146,CIFS,-0.050769231,-0.053846154,-0.049230769,2.180769077
TREMONT MORTGAGE TRUST,2017-09-14,NASDAQ Global Select,50000000,20,2500000,TRMT,-0.029859211,-0.058591606,-0.069295775,-0.149295775
BEST INC.,2017-09-20,NYSE,450000000,10,45000000,BSTI,-0.06533101,0.018292683,0.027874564,-0.18554007
CELCUITY INC.,2017-09-20,NASDAQ Capital,22800000,9.5,2400000,CELC,0.192857143,0.107936508,0.303174603,0.493650794
"DESPEGAR.COM, CORP.",2017-09-20,NYSE,332020000,26,12770000,DESP,0.122069,0.107241414,0.12137931,-0.091724138
"KRYSTAL BIOTECH, INC.",2017-09-20,NASDAQ Capital,39600000,10,3960000,KRYS,0.004761905,0.038095238,-0.063809524,0.051428571
ZAI LAB LTD,2017-09-20,NASDAQ Global,149999994,18,8333333,ZLAB,0.162061856,0.158350515,0.262680454,0.051546392
"TDH HOLDINGS, INC.",2017-09-21,NASDAQ Capital,5631250,4.25,1325000,PETZ,0.007407407,0.54962963,2.614814815,0.106666667
"RYB EDUCATION, INC.",2017-09-27,NYSE,144300000,18.5,7800000,RYB,0.0891376,0.219320016,0.081674914,-0.341210641
"DECIPHERA PHARMACEUTICALS, INC.",2017-09-28,NASDAQ Global Select,127500000,17,7500000,DCPH,-0.077766654,0.009471636,-0.026420639,-0.013459522
NUCANA PLC,2017-09-28,NASDAQ Global Select,100005000,15,6667000,NCNA,0.041935484,0.238709742,-0.189032258,-0.316
NIGHTSTAR THERAPEUTICS PLC,2017-09-28,NASDAQ Global Select,75040000,14,5360000,NITE,0.270594908,0.133867277,0.084096167,-0.206521739
"ROKU, INC",2017-09-28,NASDAQ Global Select,219352000,14,15668000,ROKU,0.692405063,0.35443038,0.206329051,2.32278481
"RHYTHM PHARMACEUTICALS, INC.",2017-10-05,NASDAQ Global,119850000,17,7050000,RYTM,0.298924774,0.105376387,0.119139785,0.244731226
"SWITCH, INC.",2017-10-06,NYSE,531250000,17,31250000,SWCH,-0.078801886,-0.091244328,-0.133640639,-0.209677456
"CARGURUS, INC.",2017-10-12,NASDAQ Global Select,150400000,16,9400000,CARG,-0.088965517,-0.053793069,-0.012068966,0.046896586
ORTHOPEDIATRICS CORP,2017-10-12,NASDAQ Global,52000000,13,4000000,KIDS,0.05,-0.027222222,0.027777778,0.0894445
"OPTINOSE, INC.",2017-10-13,NASDAQ Global Select,120000000,16,7500000,OPTN,-0.05,-0.0505,-0.13999995,-0.10249995
QUDIAN INC.,2017-10-18,NYSE,900000000,24,37500000,QD,-0.155458466,-0.163318729,-0.274526886,-0.638136806
"MONGODB, INC.",2017-10-19,NASDAQ Global,192000000,24,8000000,MDB,0.011212091,-0.04,-0.100303,-0.115151485
DRAGON VICTORY INTERNATIONAL LTD,2017-10-20,NASDAQ Capital,8528364,6,1421394,LYL,0.894451962,0.49661705,-0.215155616,-0.286874154
RISE EDUCATION CAYMAN LTD,2017-10-20,NASDAQ Global,159500000,14.5,11000000,REDU,0.071028166,-0.22492207,-0.382554479,-0.074766297
"FAT BRANDS, INC",2017-10-23,NASDAQ Capital,24000000,12,2000000,FAT,-0.06796875,-0.08125,-0.296875,-0.29296875
ABLYNX NV,2017-10-25,NASDAQ Global Select,200025000,17.5,11430000,ABLX,0.170308067,0.161344538,0.314285658,1.438095238
BP MIDSTREAM PARTNERS LP,2017-10-26,NYSE,765000000,18,42500000,BPMP,0.020771573,0.103264095,0.064688487,0.283679466
"NATIONAL VISION HOLDINGS, INC.",2017-10-26,NASDAQ Global Select,347600000,22,15800000,EYE,1.777332096,2.052156469,2.022066098,3.135406219
"SPERO THERAPEUTICS, INC.",2017-11-02,NASDAQ Global Select,77000000,14,5500000,SPRO,-0.139622642,-0.024150943,-0.090566038,-0.056603774
"ACM RESEARCH, INC.",2017-11-03,NASDAQ Global,11200000,5.6,2000000,ACMR,-0.264381885,-0.308445532,-0.168910649,-0.35128519
AQUANTIA CORP,2017-11-03,NYSE,61362000,9,6818000,AQ,0.053705693,0.19763695,0.254564984,0.37056928
METROPOLITAN BANK HOLDING CORP.,2017-11-08,NYSE,108500000,35,3100000,MCB,-0.054685518,-0.055199023,0.146084669,0.165853629
BIG ROCK PARTNERS ACQUISITION CORP.,2017-11-20,NASDAQ Capital,60000000,10,6000000,BRPAU,0.000998004,-0.000998004,0.017964072,0.0499002
"RETO ECO-SOLUTIONS, INC.",2017-11-29,NASDAQ Capital,14000000,5,2800000,RETO,0.274698795,0.206024096,-0.138554217,0.13253012
BOXLIGHT CORP,2017-11-30,NASDAQ Capital,7000000,7,1000000,BOXL,-0.138495093,-0.20610687,-0.368811341,-0.563794984
LEISURE ACQUISITION CORP.,2017-12-01,NASDAQ Capital,200000000,10,20000000,LACQU,-0.005,-0.007,-0.009,-0.004
CURO GROUP HOLDINGS CORP.,2017-12-07,NYSE,93333338,14,6666667,CURO,-0.035810811,-0.058108108,-0.020945946,0.16216223
QUANTERIX CORP,2017-12-07,NASDAQ Global,64128000,15,4275200,QTRX,0.073619698,0.150306819,0.198773141,0.242331365
DENALI THERAPEUTICS INC.,2017-12-08,NASDAQ Global Select,249999984,18,13888888,DNLI,-0.001392065,-0.106728497,-0.236194907,0.00696065
"NEWMARK GROUP, INC.",2017-12-15,NASDAQ Global Select,280000000,14,20000000,NMRK,0.002135231,0.11886121,0.138078292,0.086120996
LEXINFINTECH HOLDINGS LTD.,2017-12-21,NASDAQ Global,108000000,9,12000000,LX,-0.076271186,9.703389831,11.06779661,12.57627119
"CUE BIOPHARMA, INC.",2018-01-02,NASDAQ Capital,66155325,7.5,8820710,CUE,0.063944116,0.318287659,0.363066452,0.243059287
PLATINUM EAGLE ACQUISITION CORP.,2018-01-12,NASDAQ Capital,300000000,10,30000000,EAGLU,-0.004960317,-0.007936508,-0.007936508,0.003968254
INDUSTRIAL LOGISTICS PROPERTIES TRUST,2018-01-12,NASDAQ Global Select,480000000,24,20000000,ILPT,-0.01265827,-0.019831265,-0.097046452,-0.157384044
"NINE ENERGY SERVICE, INC.",2018-01-19,NYSE,161000000,23,7000000,NINE,0.096249958,0.071249958,0.089583333,0.22875
ADT INC.,2018-01-19,NYSE,1470000000,14,105000000,ADT,-0.041897233,-0.066403162,-0.070355731,-0.282213439
AMERICOLD REALTY TRUST,2018-01-19,NYSE,724800000,16,45300000,COLD,0.022285657,0.017714229,0.024571429,0.1068572
PAGSEGURO DIGITAL LTD.,2018-01-24,NYSE,2265789433,21.5,105385555,PAGS,0.01950351,-0.022695106,0.1489362,0.317375911
"EYENOVIA, INC.",2018-01-25,NASDAQ Capital,27300000,10,2730000,EYEN,-0.005,-0.045,-0.048,-0.113
GATES INDUSTRIAL CORP PLC,2018-01-25,NYSE,731500000,19,38500000,GTES,-0.02887134,0.028871445,-0.06929129,-0.154855599
MENLO THERAPEUTICS INC.,2018-01-25,NASDAQ Global Select,119000000,17,7000000,MNLO,0.365365854,0.804878049,0.760975512,-0.570243902
"ARMO BIOSCIENCES, INC.",2018-01-26,NASDAQ Global Select,128000004,17,7529412,ARMO,0.080357143,0.069642893,0.63571425,-0.067142821
SOLID BIOSCIENCES INC.,2018-01-26,NASDAQ Global Select,125000000,16,7812500,SLDB,-0.112941137,0.074901961,0.171764667,-0.497254902
"RESTORBIO, INC.",2018-01-26,NASDAQ Global Select,85000005,15,5666667,TORC,-0.07572513,-0.108485547,0.127819488,-0.518797018
MTECH ACQUISITION CORP,2018-01-30,NASDAQ Capital,50000000,10,5000000,MTECU,0.026973027,0.000999001,0.018981019,0.043956044
CORPORACION AMERICA AIRPORTS S.A.,2018-02-01,NYSE,485714293,17,28571429,CAAP,-0.039112889,-0.026119947,-0.076910538,-0.301924668
HUDSON LTD.,2018-02-01,NYSE,748937535,19,39417765,HUD,-0.033426238,-0.029526516,-0.161002832,-0.177715923
IPIC ENTERTAINMENT INC.,2018-02-01,NASDAQ Global Select,15140937,18.5,818429,IPIC,-0.117647059,-0.167647059,-0.338235294,-0.487058824
SOL-GEL TECHNOLOGIES LTD.,2018-02-01,NASDAQ Global,75000000,12,6250000,SLGL,-0.141176471,-0.282352941,-0.25620915,-0.382352941
"FTS INTERNATIONAL, INC.",2018-02-02,NYSE,351000000,18,19500000,FTSI,0.071579,-0.088421053,0.04,0.052631579
CENTRAL PUERTO S.A.,2018-02-02,NYSE,330000000,16.5,20000000,CEPU,0.054545455,0.019393939,0.021212121,-0.066666667
SSLJ. COM LTD,2018-02-05,NASDAQ Capital,20000000,5,4000000,SSLJ,-0.278,-0.18,-0.224,-0.104
"EVOLUS, INC.",2018-02-08,NASDAQ Global,60000000,12,5000000,EOLS,0.048888889,0.027555556,-0.038222222,-0.161777778
"VICTORY CAPITAL HOLDINGS, INC.",2018-02-08,NASDAQ Global Select,152100000,13,11700000,VCTR,-0.020408163,0.06122449,0.063673469,-0.094693878
"CACTUS, INC.",2018-02-08,NYSE,437000000,19,23000000,WHD,-0.035071043,0.043601896,0.243601896,0.384360142
QUINTANA ENERGY SERVICES INC.,2018-02-09,NYSE,92592590,10,9259259,QES,0.016666667,0.055555556,0.076666667,-0.065555556
"CARDLYTICS, INC.",2018-02-09,NASDAQ Global,70200000,13,5400000,CDLX,0.16446281,0.491735455,0.454545455,0.285950413
BIOFRONTERA AG,2018-02-14,NASDAQ Capital,12004200,9.88,1215000,BFRA,-0.007692308,0.129230769,0.299230692,0.066153846
"MOTUS GI HOLDINGS, INC.",2018-02-14,NASDAQ Capital,17500000,5,3500000,MOTS,-0.124,-0.152,-0.04,-0.136
"FARMMI, INC.",2018-02-16,NASDAQ Capital,6720000,4,1680000,FAMI,0.420454545,0.363636364,0.477272727,0.909090909
"BIOXCEL THERAPEUTICS, INC.",2018-03-08,NASDAQ Capital,59999995,11,5454545,BTAI,0.007259528,-0.049909256,-0.005444646,0.074410163
BRIDGEWATER BANCSHARES INC,2018-03-14,NASDAQ Global Select,78725000,11.75,6700000,BWB,-0.003159558,0.011848341,0.06042654,0.010268562
OPES ACQUISITION CORP.,2018-03-14,NASDAQ Capital,100000000,10,10000000,OPESU,-0.000997009,-0.000997009,0.006979063,0.003988036
"ARCUS BIOSCIENCES, INC.",2018-03-15,NYSE,120000000,15,8000000,RCUS,-0.11549995,-0.1255,-0.252,-0.19750005
"ZSCALER, INC.",2018-03-16,NASDAQ Global Select,192000000,16,12000000,ZS,0.1436364,0.102181782,0.014181782,0.518545382
GOLDEN BULL LTD,2018-03-20,NASDAQ Capital,6200000,4,1550000,DNJR,-0.059615385,-0.098076923,-0.078846154,0.421153846
"DROPBOX, INC.",2018-03-23,NASDAQ Global Select,756000000,21,36000000,DBX,0.050000034,0.075517276,0.006206897,0.425862
